SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
40,0,-12,1,21,-8,5,24,2,-9,6,8,-4,4,5,12,54,2,-3,-3,-20,3,-9,10,-3,2,NaN,-4,1,NaN,NaN,NaN,NaN,NaN,31,NaN,NaN,-1,NaN,54,NaN,-26,NaN,NaN,21,0,NaN,NaN,-9,-2,15
41,7,10,-15,-29,14,-11,-34,0,1,0,2,8,3,-10,2,-6,-13,-120,1,-19,-3,-5,26,-33,-2,NaN,NaN,54,-15,NaN,NaN,21,NaN,4,-47,-23,-7,-6,NaN,NaN,-12,NaN,NaN,-38,NaN,NaN,15,-5,-13,NaN
42,1,16,-19,-20,-15,6,16,-12,9,-7,8,10,2,-10,-6,7,11,22,8,-9,0,6,-2,115,-11,NaN,7,10,12,10,-5,NaN,NaN,-28,-7,-12,1,-13,NaN,-19,21,21,30,NaN,NaN,-2,NaN,-18,-14,-1
43,5,30,-17,-12,17,-12,0,-11,2,-4,8,11,5,18,-2,4,2,10,-1,-2,-8,-6,6,7,1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-27,NaN,NaN,NaN,NaN,NaN,-11,NaN,10,-9,NaN,NaN,NaN,NaN,NaN,-6,NaN,NaN
44,6,6,4,-18,-4,5,0,3,11,4,-25,7,-3,2,19,24,0,6,-1,-4,15,18,-5,16,9,NaN,NaN,-4,12,NaN,4,-13,-5,6,12,NaN,NaN,-3,-9,5,NaN,NaN,NaN,-20,4,2,NaN,NaN,7,-6
45,12,15,-17,12,14,8,-3,-11,-10,-3,8,18,1,7,-7,-4,-21,11,-78,3,0,14,9,11,20,NaN,NaN,-6,NaN,NaN,10,8,NaN,NaN,NaN,-2,-13,3,-7,9,NaN,-10,2,-26,NaN,NaN,-17,-10,NaN,NaN
46,-39,-12,-6,22,-35,-6,22,3,1,-28,-6,-1,0,8,11,-1,-14,-5,24,4,8,-6,-13,-23,-3,NaN,NaN,-24,NaN,NaN,NaN,NaN,NaN,NaN,-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4,NaN,-7,25,NaN,13,NaN,-14
47,8,-13,4,1,13,13,3,1,9,4,0,43,-3,-9,-15,-5,14,-31,1,12,8,-14,-1,21,0,NaN,NaN,NaN,-15,6,NaN,NaN,NaN,-13,NaN,NaN,37,15,NaN,-15,NaN,18,-7,6,NaN,NaN,NaN,NaN,15,3
48,-12,-36,14,-5,-25,-4,2,14,8,-5,-11,13,3,43,5,8,0,-14,-16,1,-20,-6,-8,2,-7,NaN,NaN,-6,0,11,-9,NaN,10,-20,4,NaN,-1,-22,9,27,2,NaN,-17,NaN,-1,31,NaN,NaN,1,-6
49,21,-49,-11,41,2,-28,12,-13,-19,10,-13,-4,-13,8,18,38,-53,1,-10,21,9,-14,13,6,-6,NaN,27,NaN,NaN,NaN,-11,NaN,NaN,-57,-4,NaN,NaN,NaN,NaN,NaN,NaN,19,-23,28,-15,0,26,-2,NaN,NaN
50,-7,-4,-7,1,-9,-3,3,-4,22,23,19,1,-17,14,2,0,-6,-4,-12,-1,-5,-20,-6,-1,-12,NaN,NaN,13,1,1,NaN,NaN,-14,-4,NaN,NaN,-9,NaN,-6,0,NaN,9,NaN,NaN,-10,24,23,6,NaN,5
51,9,21,-15,22,-3,-4,15,6,1,12,5,3,-8,12,18,24,2,-9,12,3,-3,6,8,14,13,NaN,-4,28,5,-1,NaN,NaN,NaN,NaN,NaN,NaN,-18,NaN,NaN,26,NaN,NaN,NaN,NaN,NaN,0,NaN,17,3,3
52,-7,9,9,13,11,4,8,0,-24,-16,-5,-14,-4,0,-15,10,-2,7,9,0,6,11,14,16,10,NaN,NaN,-1,NaN,5,-8,-16,NaN,20,0,NaN,NaN,NaN,3,NaN,-22,1,NaN,7,-3,17,11,NaN,NaN,NaN
53,-14,-7,9,-9,0,-4,-5,-4,21,7,-28,14,-8,8,-5,-13,-10,-10,19,6,13,-17,-1,-7,-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5,NaN,1,NaN,-20,44,14,5,-4,NaN,2,16,NaN,8,NaN,NaN,20
54,3,7,-21,-12,0,-14,7,-12,24,6,-1,23,19,26,-9,-38,5,0,-2,128,2,38,-18,16,1,NaN,-3,-28,NaN,NaN,48,NaN,34,NaN,NaN,10,8,-6,-2,NaN,NaN,NaN,NaN,NaN,15,NaN,21,-22,-62,-14
55,11,-10,8,-23,-9,7,5,4,-1,-5,-24,-16,15,6,-16,2,-22,20,-3,-73,-24,0,-34,-13,27,NaN,NaN,34,NaN,25,NaN,-1,-14,-33,15,NaN,-26,-19,11,NaN,NaN,-22,NaN,NaN,2,-16,NaN,-44,7,-43
56,-3,29,-7,-7,-2,7,-4,13,-3,10,-13,14,7,12,17,-17,-3,19,-10,18,-6,18,-33,-3,-14,NaN,16,-2,7,NaN,NaN,29,NaN,NaN,NaN,-11,NaN,NaN,-37,-2,NaN,-15,5,-23,-16,35,NaN,2,NaN,5
57,14,5,-16,5,14,-19,17,14,-22,-4,2,-3,7,-1,0,-2,-31,9,5,6,-30,19,-3,15,-21,NaN,-4,-24,NaN,-13,NaN,-11,NaN,137,NaN,NaN,-36,-5,16,NaN,-4,-7,NaN,22,-9,NaN,-5,NaN,-2,NaN
58,31,-26,-11,2,-7,0,14,0,15,-10,-18,14,11,12,10,0,12,8,-7,0,11,-8,6,15,-6,NaN,NaN,NaN,2,1,3,NaN,0,NaN,NaN,9,-4,NaN,-6,NaN,NaN,NaN,NaN,8,3,0,-10,NaN,20,NaN
59,-144,-2,-18,9,3,-6,9,-4,1,12,6,5,2,22,2.81E-15,9,18,20,-5,-24,14,-1,13,-12,-12,NaN,19,5,19,NaN,1,NaN,-14,NaN,NaN,21,-32,NaN,NaN,NaN,19,NaN,11,10,10,NaN,NaN,35,10,-34
60,6,-2.75E-15,-3,-6,-6,5,8,2,-5,3,-11,9,-3,11,-29,-19,-12,2,14,4,-9,7,17,-11,0,NaN,-2,NaN,1,NaN,-12,6,NaN,NaN,-33,NaN,-10,-17,15,-16,NaN,3,1,0,-17,NaN,-8,NaN,-16,15
61,-1,1,5,-4,0,3,-4,0,-3,-1,11,5,-22,-13,-5,6,-15,-2,4,-7,-8,1,2,4,16,NaN,-5,NaN,-25,NaN,0,-2,10,NaN,1,NaN,-9,NaN,9,-21,-6,NaN,6,14,15,4,NaN,11,8,9
62,1,-8,-13,-2,-27,0,7,16,6,11,14,-2,3,-14,16,7,-11,-4,6,9,1,6,11,-2,29,NaN,NaN,-13,NaN,-7,NaN,NaN,NaN,1,0,-34,8,-5,NaN,-22,NaN,-2,NaN,NaN,NaN,NaN,NaN,-2,-3,0
63,-29,1,-1,-7,-8,8,-4,-7,-14,0,24,-13,13,-23,-5,6,-14,-1,0,19,-2,-4,4,-22,-44,NaN,NaN,-15,-8,-2,NaN,NaN,NaN,6,15,17,NaN,-19,-8,-17,NaN,-4,10,NaN,NaN,-11,NaN,NaN,NaN,NaN
64,-13,-11,-5,19,1,16,15,4,12,-17,23,33,12,-2,-12,17,11,-7,9,18,4,19,-15,27,-18,NaN,8,10,-8,119,4,NaN,NaN,NaN,NaN,NaN,-20,9,NaN,NaN,-24,NaN,7,NaN,NaN,NaN,20,NaN,55,12
65,9,21,9,-10,7,-9,-9,5,-3,-14,-4,-13,21,-13,15,-12,18,13,-1,3,-8,10,16,-5,10,NaN,1,-8,NaN,NaN,5,1,NaN,19,NaN,-8,NaN,8,NaN,NaN,1,7,-10,-4,NaN,-6,NaN,NaN,-1,NaN
66,-52,9,-19,7,-3,-9,6,-1,17,-14,14,-3,22,27,-7,-7,-1,17,14,-69,6,12,5,25,-2,NaN,10,NaN,-17,9,22,NaN,NaN,NaN,NaN,-44,-19,NaN,-1,NaN,NaN,4,1,-5,32,NaN,NaN,26,NaN,-13
67,0,6,33,-2,3,-9,21,5,-2,6,10,-13,16,11,-16,5,20,7,-5,2,7,26,-1,-11,11,NaN,NaN,NaN,-11,-7,NaN,11,13,NaN,19,-94,NaN,-2,-27,NaN,-7,NaN,-10,NaN,NaN,2,-14,25,7,NaN
68,23,-15,0,48,1,-20,-12,-2,-8,-2,-9,-1,1,5,-20,-4,1,21,2,-3,-8,27,-13,10,13,NaN,-28,NaN,-5,NaN,-9,NaN,NaN,NaN,NaN,-33,NaN,4,2,-13,NaN,NaN,-5,-25,NaN,-10,NaN,-7,9,28
69,-32,7,-11,6,-10,8,-15,2,-2,6,-9,-9,-11,-3,-1,-6,-28,4,-22,-15,-5,-2,-2,-5,-34,NaN,NaN,-2,3,12,NaN,NaN,NaN,NaN,NaN,8,16,7,-75,NaN,NaN,173,NaN,24,NaN,-13,27,-25,3,0
70,8,5,-12,-1,-4,0,21,6,-8,-6,11,12,-11,3,19,5,8,-3,-6,0,-8,-10,0,19,-2,NaN,-2,NaN,16,-2,4,-9,-16,NaN,10,25,NaN,-5,-17,24,NaN,-48,NaN,NaN,3,8,-11,5,7,-6
71,-8,-1,6,18,1,12,23,11,12,-16,1,23,8,26,25,19,-1,-11,18,5,8,14,5,-11,0,NaN,9,NaN,8,15,26,NaN,7,NaN,26,-17,NaN,NaN,NaN,-4,17,NaN,NaN,NaN,NaN,-5,NaN,19,-6,NaN
72,-5,13,17,0,6,-3,23,17,-1,-32,-4,5,6,-2,9,4,-23,6,-2,7,4,-4,-12,-6,11,NaN,17,NaN,-5,NaN,NaN,NaN,9,NaN,2,NaN,NaN,NaN,NaN,2,NaN,-4,NaN,NaN,-13,NaN,NaN,NaN,NaN,NaN
73,59,9,-4,-12,7,-3,17,-3,-7,-24,-18,-3,-20,2,2,30,-1,6,0,21,-27,32,-16,7,1,NaN,44,NaN,-6,5,11,NaN,NaN,NaN,21,9,NaN,16,6,17,NaN,2,NaN,NaN,6,5,-2,-5,NaN,NaN
74,-40,-1,32,1,14,26,16,0,23,-4,5,2,-1,8,-2,10,4,20,17,0,11,-2,21,8,15,NaN,-100,NaN,177,8,NaN,NaN,NaN,NaN,NaN,NaN,39,NaN,4,NaN,26,-44,NaN,NaN,NaN,-25,11,NaN,158,-2
75,10,15,-3,7,16,26,-7,-10,10,3,-11,21,-3,19,-7,4,-2,20,14,-4,47,-3,-5,29,11,NaN,NaN,-38,NaN,13,-2,NaN,NaN,16,NaN,-1,-4,NaN,1,-1,NaN,NaN,NaN,-6,NaN,-3,NaN,-11,NaN,NaN
76,-2,21,10,-12,0,10,2,18,12,14,-3,-20,-10,1,13,53,-1,-1,-6,0,-16,6,-2,-1,-7,NaN,12,NaN,NaN,NaN,12,NaN,2,-20,NaN,8,-22,-11,NaN,27,NaN,NaN,NaN,1,NaN,15,NaN,NaN,5,NaN
77,-1,0,7,-25,5,-1,0,-10,12,-1,-1,1,-11,-10,0,3,-6,-11,-6,35,-3,6,-12,21,4,NaN,31,2,NaN,-11,-19,NaN,NaN,4,-4,-18,NaN,-8,NaN,-14,-12,-6,0,NaN,NaN,NaN,NaN,1,11,-36
78,4,4,14,-15,-5,9,13,15,18,2,-14,4,2,-1,20,0,-5,29,-10,4,25,0,-6,8,0,NaN,NaN,-12,-19,-7,NaN,NaN,-2,NaN,3,-23,NaN,-5,-28,8,NaN,-3,NaN,NaN,NaN,6,NaN,NaN,9,-31
79,-19,3,-5,9,8,24,-16,7,-32,19,-18,5,-18,-10,0,34,18,-7,-24,-10,11,-6,1,-14,-2,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,29,NaN,2,-26,-11,NaN,36,-3,NaN,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,-29,-2,-23,29,-8,17,-4,6,-12,8,-42,14,-42,5,11,12,18,-45,27,0,-1,-3,-7,-12,-10,NaN,NaN,NaN,NaN,44,5,1,38,-17,-10,-33,NaN,NaN,24,-4,22,-17,16,-50,NaN,NaN,-11,-15,-8,15
81,-4,0,-12,-12,-2,4,12,8,-6,0,2,6,-5,-6,11,-13,12,-3,12,-15,2,-8,-34,-2,-3,NaN,9,-5,NaN,4,8,27,NaN,NaN,-9,-13,NaN,NaN,NaN,4,-5,NaN,15,-20,-4,NaN,4,NaN,NaN,11
82,0,12,-15,-5,-4,-18,-9,-10,-3,16,-5,12,-8,3,-10,-12,9,-5,-2,-18,-15,11,-1,0,-6,NaN,5,3,NaN,NaN,NaN,NaN,NaN,-2,NaN,-14,NaN,-12,NaN,NaN,27,-4,-5,-136,13,6,NaN,NaN,-2,23
