SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
24,3.5954,6.2308,4.5902,2.9322,1.4312,1.5184,2.3736,2.1817,4.5204,1.9897,2.9845,1.7628,2.2689,2.7053,3.8223,1.2392,0.15708,0.48869,2.1468,5.9341,4.5553,1.1868,5.4978,4.0492,5.9516,1.9897,0.75049,3.735,4.2586,6.0388,3.8572,0.68068,2.2166,1.5359,3.735,5.6025,4.9218,1.3439,0.75049,0.75049,2.6704,1.7977,1.1345,0.2618,3.6652,1.7628,2.618,3.6128,0.05236,0.36652
25,0.48869,2.1642,4.1539,0.54105,4.3808,5.9341,1.1868,4.9218,3.6652,0.55851,5.4105,5.7421,4.0317,5.0265,2.7925,4.8346,0.19199,2.5831,3.6652,6.0912,1.1694,1.6581,2.1293,4.6775,6.1959,1.4661,0.31416,4.9742,4.5553,3.3161,1.85,3.2114,3.7001,4.2412,1.4486,5.1836,2.4609,0.20944,2.0769,1.5708,0.29671,4.66,2.7402,2.426,2.7925,6.1436,3.1416,0.73304,4.6426,2.3911
26,2.5307,6.1261,0.47124,2.9322,1.4137,5.2011,4.6426,3.2289,6.1261,3.5605,6.0214,4.66,2.81,2.4086,3.6477,4.8695,0.57596,3.351,0.31416,4.0492,2.6529,0.66323,1.4486,3.3336,4.0666,4.3284,1.1868,5.6723,5.0615,3.3336,2.3911,2.81,0.69813,4.5029,3.2289,3.8746,6.1436,2.8798,5.7596,5.5676,6.0388,1.7802,3.1067,5.9167,2.2166,3.5779,0.89012,3.0369,2.1642,5.3233
27,3.9619,4.3808,1.7279,4.3459,0.29671,4.4331,2.4435,3.5779,1.1694,1.0647,5.7421,3.9444,1.0123,3.6652,4.852,3.5779,1.2392,6.1959,2.4086,4.8695,4.7124,2.5482,0.8203,4.1713,4.2412,5.62,0.24435,0.83776,1.3963,2.5482,5.8818,6.0563,2.2166,1.4835,1.501,4.9393,0.47124,2.2689,6.0737,1.3614,1.7279,0.69813,3.2463,1.7628,5.1836,0.85521,3.0543,3.8223,5.4454,3.2114
28,3.0543,3.5779,2.0246,4.119,1.9024,5.1138,2.6878,4.7473,4.8695,0.017453,2.7227,3.4558,4.2062,5.8469,0.71558,5.4629,4.2412,4.2062,4.5204,5.3058,0.76794,1.7104,4.1539,0.2618,5.5851,0.40143,1.8151,2.3911,1.5533,4.66,4.0143,2.7925,6.0039,4.9218,1.309,3.5605,6.0563,1.7104,0.90757,3.5954,0.087266,3.9095,6.1087,0.90757,0.69813,2.234,3.2812,2.4086,5.7421,5.9341
29,2.3911,4.9916,4.0666,0.90757,4.8346,2.3736,2.0769,3.3161,1.2217,4.5728,0.68068,2.1642,4.3633,1.0821,0.087266,5.0789,1.7628,1.0472,0.71558,5.4629,1.693,0.38397,2.9496,6.1436,2.2689,3.4034,3.6826,6.2308,2.5482,0.57596,1.117,5.8818,1.4486,4.468,5.1836,0.75049,4.4506,4.7298,6.2657,1.4486,2.4958,2.6354,0.75049,1.1345,2.6354,1.7453,3.7874,0.75049,0.8203,5.7596
30,3.7001,2.6878,5.3058,2.5656,0.76794,3.7699,4.6251,2.6704,5.1313,4.5553,4.1015,0.80285,2.6529,3.4383,0.83776,0.80285,1.4137,3.7874,4.0317,2.5482,4.5379,3.8397,2.4086,1.7802,0.87266,2.8972,3.6652,2.0944,1.8326,4.0317,1.4486,4.311,2.0071,2.5831,1.5359,3.5605,1.1694,0.087266,1.0297,4.7298,0.29671,2.9845,2.6529,4.2935,0.80285,0.57596,2.6354,4.2761,2.1293,0.99484
31,2.2689,3.4034,3.6826,6.0737,2.8623,1.2566,5.3582,0.27925,0.50615,0.31416,1.0123,1.7802,5.4454,1.7977,4.6077,3.1067,0.2618,0.05236,3.4732,3.4732,2.4435,2.81,5.8469,2.618,2.1817,3.8048,0.76794,6.161,1.5708,1.1519,5.4454,0.15708,1.117,5.9167,1.2217,4.6949,0.71558,1.6406,2.9671,5.2883,5.0265,0.12217,5.62,0.13963,1.7104,3.9619,3.1241,3.7176,2.6354,3.3336
32,6.0737,4.0841,0.36652,4.5379,2.9671,4.1364,4.0317,4.6775,1.309,2.0595,4.7124,0.43633,5.2011,3.2638,3.2812,5.3058,6.2657,4.8695,5.4629,3.8223,5.9341,0.8203,1.9548,6.1436,5.9865,6.0039,3.351,2.0246,6.2832,4.7473,2.0595,5.8469,3.1067,2.4784,0.13963,1.8675,1.5359,1.7628,5.1836,2.81,5.3233,6.1261,4.1539,5.3582,0.76794,0.29671,6.2308,4.5902,2.3736,1.1868
33,2.0595,1.117,5.0265,3.9968,4.2761,2.7751,4.0317,5.0265,1.117,3.4732,0.57596,5.9516,2.8798,3.3161,5.9516,0.47124,4.8695,3.6128,4.119,1.4312,4.66,4.7298,0.8203,3.6477,3.0369,2.3038,5.4978,1.1519,4.3459,0.10472,4.2412,1.3439,4.3633,3.9444,3.0194,1.5533,0.8203,1.3265,2.1991,6.0563,5.7421,6.0912,5.1313,5.3058,1.885,0.48869,4.7124,4.9218,4.3284,0.069813
