SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
23,1.2741,2.0595,4.852,1.6755,0.19199,3.6652,0.41888,0.95993,3.3161,4.3284,1.117,4.3808,1.309,5.4803,2.7053,5.8992,5.8643,4.8695,2.7925,1.4137,3.8921,0.76794,3.4208,3.002,0.83776,NaN,0.83776,NaN,NaN,NaN,NaN,0.83776,0.83776,0.83776,NaN,NaN,0.83776,NaN,0.83776,0.83776,0.83776,0.83776,0.83776,NaN,0.83776,NaN,0.83776,0.83776,NaN,0.83776
24,3.7699,6.1261,4.4331,3.0194,1.1694,1.3265,2.5831,2.5307,4.3459,2.0944,3.0718,1.7453,2.1118,2.5656,3.8223,0.71558,0.087266,0.017453,2.3213,5.8818,4.2237,0.97738,5.3756,4.3808,5.9516,NaN,5.9516,5.9516,5.9516,NaN,5.9516,NaN,NaN,NaN,5.9516,5.9516,NaN,NaN,NaN,5.9516,NaN,NaN,5.9516,5.9516,5.9516,5.9516,5.9516,NaN,NaN,5.9516
25,5.6025,2.0595,4.3633,0.40143,4.468,0.48869,1.3265,4.8695,3.927,0.66323,5.236,0.12217,3.9619,5.1662,3.0194,4.9916,0.22689,2.9671,3.9794,0.33161,1.1694,2.042,2.3562,4.7298,0.38397,NaN,NaN,NaN,NaN,0.38397,NaN,NaN,NaN,NaN,0.38397,0.38397,0.38397,0.38397,0.38397,NaN,NaN,0.38397,NaN,NaN,0.38397,NaN,0.38397,0.38397,0.38397,NaN
26,2.6529,6.0039,0.41888,3.159,1.1868,5.2011,4.6077,3.0543,6.1087,3.3685,6.161,4.6775,3.2987,2.2689,3.5256,4.7298,0.27925,3.4208,0.29671,3.7699,2.5307,0.27925,1.4661,3.5081,3.8397,NaN,NaN,NaN,NaN,NaN,3.8397,NaN,3.8397,NaN,3.8397,NaN,3.8397,NaN,NaN,3.8397,3.8397,NaN,3.8397,NaN,NaN,NaN,3.8397,NaN,3.8397,3.8397
27,4.2412,4.4506,1.85,3.9095,0.13963,3.8572,2.3213,3.6303,0.89012,1.1345,5.8818,3.8223,0.99484,3.5605,5.0091,3.4208,1.2915,5.9167,2.4958,5.0615,4.852,2.7227,0.80285,4.3982,4.0317,NaN,4.0317,4.0317,NaN,NaN,NaN,NaN,4.0317,4.0317,NaN,4.0317,4.0317,NaN,NaN,NaN,NaN,4.0317,NaN,4.0317,NaN,4.0317,4.0317,NaN,NaN,NaN
28,2.8972,3.7699,2.0071,4.2412,1.9373,5.1836,2.81,4.7997,4.8171,5.8643,2.8449,3.4034,4.5204,5.5152,0.48869,5.5676,4.2586,4.1888,4.5728,5.3407,0.64577,1.7977,4.5902,0.33161,5.3058,NaN,NaN,5.3058,5.3058,5.3058,5.3058,NaN,NaN,NaN,5.3058,NaN,NaN,NaN,5.3058,NaN,5.3058,5.3058,NaN,NaN,5.3058,5.3058,NaN,5.3058,5.3058,NaN
29,2.4086,5.1138,3.8048,1.0996,4.6949,2.3038,2.3038,3.8572,1.5184,4.7647,0.92502,2.234,3.735,1.3614,0.54105,4.5902,1.9897,0.90757,0.94248,5.2534,1.9024,0.47124,2.8972,6.2657,2.1817,NaN,2.1817,NaN,2.1817,NaN,NaN,2.1817,2.1817,NaN,2.1817,NaN,2.1817,2.1817,2.1817,NaN,NaN,2.1817,2.1817,NaN,2.1817,NaN,2.1817,NaN,2.1817,2.1817
30,3.4208,2.8449,5.5676,2.7227,0.31416,3.8572,4.7997,3.2289,5.3582,4.2761,4.2761,0.7854,2.9671,3.2987,0.50615,0.59341,1.501,4.3284,3.8397,2.7925,4.8869,3.4383,2.3736,1.5359,0.83776,NaN,NaN,NaN,NaN,0.83776,0.83776,NaN,0.83776,NaN,0.83776,0.83776,0.83776,NaN,0.83776,NaN,NaN,0.83776,NaN,NaN,0.83776,NaN,0.83776,0.83776,NaN,0.83776
31,2.7227,3.6477,3.7525,6.0039,3.351,1.3265,5.5676,6.2657,0.5236,0.55851,1.0123,2.0246,5.4803,2.2166,4.7298,3.2638,5.969,6.2308,3.3336,3.2812,3.1765,2.6704,6.0388,2.8623,2.4784,NaN,2.4784,2.4784,NaN,NaN,NaN,NaN,2.4784,2.4784,2.4784,NaN,2.4784,2.4784,2.4784,NaN,NaN,2.4784,NaN,NaN,2.4784,NaN,2.4784,2.4784,2.4784,NaN
32,5.777,3.9968,0.19199,4.4855,3.1067,3.927,3.8397,4.7124,1.3439,2.042,4.6077,6.2134,5.2709,3.4907,3.3685,5.2534,6.1261,5.2709,5.5327,3.5779,5.8119,0.75049,2.2689,6.1436,0.05236,NaN,0.05236,NaN,0.05236,NaN,NaN,0.05236,NaN,0.05236,NaN,NaN,NaN,0.05236,0.05236,0.05236,0.05236,0.05236,0.05236,NaN,NaN,NaN,0.05236,NaN,0.05236,0.05236
